chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	LINC01128	851926	852766	2460	841	50545	13620	48085	12779	2.925089179548157	3.762813991705141
chr1	PLEKHN1	974441	975865	816	1425	2663	3466	1847	2041	0.5726315789473684	0.9049485546300833
chr1	PLEKHN1	970685	971006	1603	322	2663	3466	1060	3144	4.978260869565218	0.3371501272264631
chr1	SCNN1D	1287507	1287836	2007	330	22405	3430	20398	3100	6.081818181818182	6.58
chr1	MRPL20-AS1	1399519	1400303	0	785	0	2407	0	1622	0.0	0.0
chr1	MIB2	1629384	1629566	0	183	73128	7887	73128	7704	0.0	9.49221183800623
chr1	MIB2	1626836	1627207	563	372	73128	7887	72565	7515	1.5134408602150538	9.656021290751829
chr1	MMP23B	1632980	1633355	663	376	103840	2013	103177	1637	1.7632978723404256	63.02810018326206
chr1	MMP23B	1633747	1634099	18983	353	103840	2013	84857	1660	53.77620396600567	51.11867469879518
chr1	DFFB	3883506	3885429	0	1924	0	3880	0	1956	0.0	0.0
chr1	LINC01646	4593051	4594009	0	959	0	3336	0	2377	0.0	0.0
chr1	KCNAB2	6095529	6096756	0	1228	24733	13510	24733	12282	0.0	2.0137599739456116
chr1	KCNAB2	6097268	6097555	0	288	24733	13510	24733	13222	0.0	1.8705944637725003
chr1	KCNAB2	6085203	6086363	0	1161	24733	13510	24733	12349	0.0	2.002834237590088
chr1	ESPN	6448640	6449091	102	452	5713	6800	5611	6348	0.22566371681415928	0.8839004410838059
chr1	PER3	7829836	7830161	305	326	17971	7397	17666	7071	0.9355828220858896	2.498373638806392
chr1	TARDBP	11023192	11024183	0	992	102	4648	102	3656	0.0	0.027899343544857767
chr1	MFN2	11981809	11982114	5343	306	424359	10140	419016	9834	17.46078431372549	42.608907870652835
chr1	PLEKHM2	15727013	15727832	0	820	1471	4154	1471	3334	0.0	0.4412117576484703
chr1	NECAP2	16458841	16460077	455607	1237	1660932	4594	1205325	3357	368.31608730800326	359.0482573726542
chr1	SLC66A1	19312325	19312889	0	565	0	2695	0	2130	0.0	0.0
chr1	EPHB2	22913461	22921500	0	8040	378	11673	378	3633	0.0	0.10404624277456648
chr1	LYPLA2	23794223	23794600	0	378	134	1850	134	1472	0.0	0.09103260869565218
chr1	SRRM1	24652433	24652628	0	196	2729	5651	2729	5455	0.0	0.5002749770852429
chr1	SRRM1	24670119	24670315	510	197	2729	5651	2219	5454	2.5888324873096447	0.40685735240190685
chr1	ZNF593	26170417	26170873	459	457	604	734	145	277	1.0043763676148796	0.5234657039711191
chr1	ARID1A	26774328	26774901	6113	574	112352	12546	106239	11972	10.649825783972126	8.873955897093218
chr1	PIGV	26794112	26795234	5203	1123	806961	5866	801758	4743	4.633125556544969	169.04026987138943
chr1	PPP1R8	27850092	27851676	561	1585	561	2822	0	1237	0.35394321766561515	0.0
chr1	THEMIS2	27881970	27883043	662	1074	21416	2665	20754	1591	0.6163873370577281	13.044626021370208
chr1	PHACTR4	28496533	28500364	1479	3832	2745	7336	1266	3504	0.3859603340292276	0.3613013698630137
chr1	CCDC28B	32204597	32205387	23338	791	55471	2043	32133	1252	29.504424778761063	25.665335463258785
chr1	EIF3I	32221720	32222032	9556	313	21504	5731	11948	5418	30.53035143769968	2.2052417866371354
chr1	EIF3I	32228726	32229208	0	483	21504	5731	21504	5248	0.0	4.097560975609756
chr1	EIF3I	32230926	32231602	0	677	21504	5731	21504	5054	0.0	4.254847645429363
chr1	EIF3I	32228726	32231019	1104	2294	21504	5731	20400	3437	0.4812554489973845	5.935408786732616
chr1	LCK	32274736	32275083	0	348	51	3193	51	2845	0.0	0.017926186291739893
chr1	TEKT2	36087727	36088275	102	549	1528	1969	1426	1420	0.18579234972677597	1.004225352112676
chr1	MAP7D1	36176198	36176581	0	384	118084	4365	118084	3981	0.0	29.661893996483297
chr1	THRAP3	36303795	36305357	11010	1563	29510	4735	18500	3172	7.044145873320537	5.832282471626734
chr1	SH3D21	36321055	36321778	20581	724	83509	6435	62928	5711	28.426795580110497	11.018735773069515
chr1	LINC01685	38476192	38476484	0	293	1621	3681	1621	3388	0.0	0.4784533648170012
chr1	LINC01685	38474881	38475824	51	944	1621	3681	1570	2737	0.05402542372881356	0.5736207526488857
chr1	SZT2	43427529	43428118	0	590	31845	24016	31845	23426	0.0	1.3593870058908906
chr1	ARTN	43936068	43936346	0	279	0	2662	0	2383	0.0	0.0
chr1	ATP6V0B	43977025	43978295	0	1271	0	2433	0	1162	0.0	0.0
chr1	CCDC24	43993889	43995162	204	1274	88	2226	-116	952	0.16012558869701726	-0.12184873949579832
chr1	CCDC24	43995600	43995856	0	257	88	2226	88	1969	0.0	0.0446927374301676
chr1	AL139220.2	44050949	44051494	6207	546	64101	9671	57894	9125	11.368131868131869	6.34454794520548
chr1	KLF17	44129352	44130196	4693	845	123995	3164	119302	2319	5.553846153846154	51.445450625269515
chr1	DMAP1	44213470	44213858	102	389	3735	2653	3633	2264	0.2622107969151671	1.6046819787985867
chr1	ARMH1	44724319	44724668	714	350	21052	3290	20338	2940	2.04	6.917687074829932
chr1	MAST2	46032177	46032404	80177	228	316033	7806	235856	7578	351.6535087719298	31.12377936130905
chr1	MAST2	46032595	46032718	33669	124	316033	7806	282364	7682	271.5241935483871	36.75657380890393
chr1	DIO1	53904665	53904809	0	145	122	2265	122	2120	0.0	0.057547169811320756
chr1	DIO1	53894438	53894547	20	110	122	2265	102	2155	0.18181818181818182	0.047331786542923436
chr1	DIO1	53894188	53894547	122	360	122	2265	0	1905	0.3388888888888889	0.0
chr1	DIO1	53894210	53894547	122	338	122	2265	0	1927	0.3609467455621302	0.0
chr1	MROH7-TTC4	54731485	54731700	510	216	206565	7125	206055	6909	2.361111111111111	29.824142422926617
chr1	MIER1	66984571	66988619	102	4049	153	6542	51	2493	0.025191405285255618	0.02045728038507822
chr1	FPGT-TNNI3K	74370287	74375848	0	5562	0	9928	0	4366	0.0	0.0
chr1	NEXN	77942460	77943895	0	1436	17	4215	17	2779	0.0	0.0061173083843109035
chr1	LINC01140	87133613	87136669	0	3057	612	6060	612	3003	0.0	0.2037962037962038
chr1	BRDT	91949397	91949682	0	286	34576	4344	34576	4058	0.0	8.520453425332676
chr1	MTF2	93110229	93110428	0	200	755	5924	755	5724	0.0	0.1319007686932215
chr1	FNBP1L	93550946	93554659	5521	3714	2872	4512	-2649	798	1.4865374259558428	-3.319548872180451
chr1	LINC02790	95991976	95992509	0	534	0	2786	0	2252	0.0	0.0
chr1	LINC02790	95992009	95992509	0	501	0	2786	0	2285	0.0	0.0
chr1	LINC02790	95992025	95992509	0	485	0	2786	0	2301	0.0	0.0
chr1	AC118553.2	100078450	100080659	0	2210	0	5784	0	3574	0.0	0.0
chr1	TRMT13	100140407	100141019	0	613	4182	4144	4182	3531	0.0	1.1843670348343245
chr1	AC093157.1	101080388	101083574	204	3187	0	7130	-204	3943	0.06401004079071226	-0.05173725589652549
chr1	AC093157.1	101080886	101083574	204	2689	0	7130	-204	4441	0.0758646336928226	-0.045935600090069806
chr1	RNPC3	103525698	103526262	0	565	102	5469	102	4904	0.0	0.020799347471451877
chr1	LINC02785	108071483	108072697	0	1215	0	4139	0	2924	0.0	0.0
chr1	GPR61	109542421	109544639	663	2219	2587	3508	1924	1289	0.298783235691753	1.4926299456943366
chr1	CSF1	109923165	109924190	0	1026	102	5251	102	4225	0.0	0.024142011834319528
chr1	CEPT1	111182186	111182318	0	133	0	4458	0	4325	0.0	0.0
chr1	CHIAP2	111281550	111282475	0	926	0	2199	0	1273	0.0	0.0
chr1	NBPF26	120805555	120805765	0	211	41854	6817	41854	6606	0.0	6.335755373902513
chr1	NBPF26	120805417	120805765	0	349	41854	6817	41854	6468	0.0	6.470933828076685
chr1	LINC00623	120952438	120953460	0	1023	0	2606	0	1583	0.0	0.0
chr1	POLR3C	145826453	145826709	844	257	13602	4583	12758	4326	3.2840466926070038	2.9491447064262597
chr1	GNRHR2	145919343	145919900	298	558	2085	2338	1787	1780	0.5340501792114696	1.003932584269663
chr1	POLR3GL	145974824	145974991	0	168	0	1316	0	1148	0.0	0.0
chr1	LINC01719	146057693	146058461	3178	769	19342	2631	16164	1862	4.1326397919375815	8.680988184747584
chr1	NBPF12	146987953	146988126	0	174	0	7308	0	7134	0.0	0.0
chr1	CHD1L	147252622	147252735	0	114	51	4200	51	4086	0.0	0.012481644640234948
chr1	CHD1L	147254869	147254976	0	108	51	4200	51	4092	0.0	0.012463343108504398
chr1	CHD1L	147255812	147255927	0	116	51	4200	51	4084	0.0	0.01248775710088149
chr1	CHD1L	147264421	147264584	0	164	51	4200	51	4036	0.0	0.01263627353815659
chr1	CHD1L	147272170	147272630	0	461	51	4200	51	3739	0.0	0.013640010698047607
chr1	LINC02805	148162755	148163815	0	1061	32	5857	32	4796	0.0	0.006672226855713094
chr1	PDE4DIP	148991884	148993882	0	1999	2142	23819	2142	21820	0.0	0.09816681943171403
chr1	SNX27	151693423	151694484	0	1062	200518	16235	200518	15173	0.0	13.215448494035458
chr1	OAZ3	151767162	151767299	0	138	32072	4640	32072	4502	0.0	7.123944913371835
chr1	INTS3	153773192	153774808	561	1617	14048	9073	13487	7456	0.3469387755102041	1.808878755364807
chr1	INTS3	153772339	153772711	0	373	14048	9073	14048	8700	0.0	1.614712643678161
chr1	CREB3L4	153972743	153973078	0	336	336129	2539	336129	2203	0.0	152.57784838856105
chr1	AQP10	154323588	154325325	39657	1738	97881	2297	58224	559	22.817606444188723	104.15742397137745
chr1	TDRD10	154547408	154548147	2346	740	14018	2719	11672	1979	3.17027027027027	5.897928246589187
chr1	FLAD1	154992712	154993111	0	400	174719	3992	174719	3592	0.0	48.641146993318486
chr1	FLAD1	154990158	154990528	21945	371	174719	3992	152774	3621	59.15094339622642	42.19110742888705
chr1	SLC50A1	155138179	155138853	0	675	0	1885	0	1210	0.0	0.0
chr1	DAP3	155738156	155739010	1734	855	54517	4354	52783	3499	2.0280701754385966	15.085167190625894
chr1	LMNA	156114712	156115274	687	563	328592	7357	327905	6794	1.2202486678507993	48.26390933176332
chr1	LMNA	156137653	156138757	0	1105	328592	7357	328592	6252	0.0	52.557901471529114
chr1	LMNA	156135860	156136436	0	577	328592	7357	328592	6780	0.0	48.46489675516224
chr1	LMNA	156114710	156115274	699	565	328592	7357	327893	6792	1.2371681415929203	48.27635453474676
chr1	SEMA4A	156154549	156154717	0	169	24830	6084	24830	5915	0.0	4.197802197802198
chr1	TMEM79	156285183	156285983	19472	801	29172	3037	9700	2236	24.309612983770286	4.338103756708408
chr1	RHBG	156377989	156378399	0	411	0	3394	0	2983	0.0	0.0
chr1	RRNAD1	156731990	156732473	94	484	1224	2891	1130	2407	0.19421487603305784	0.4694640631491483
chr1	FCRL6	159808960	159809245	48	286	1731	2371	1683	2085	0.16783216783216784	0.8071942446043165
chr1	KLHDC9	161098360	161099062	3009	703	4498	1599	1489	896	4.2802275960170695	1.6618303571428572
chr1	PPOX	161170906	161171218	156	313	31353	4416	31197	4103	0.4984025559105431	7.603460882281258
chr1	PPOX	161170906	161171181	156	276	31353	4416	31197	4140	0.5652173913043478	7.535507246376811
chr1	NDUFS2	161213863	161214381	102	519	37441	7304	37339	6785	0.19653179190751446	5.503168754605748
chr1	NDUFS2	161212591	161213182	51	592	37441	7304	37390	6712	0.08614864864864864	5.57061978545888
chr1	NDUFS2	161213863	161214299	102	437	37441	7304	37339	6867	0.2334096109839817	5.437454492500364
chr1	NDUFS2	161213863	161214395	102	533	37441	7304	37339	6771	0.19136960600375236	5.514547334219466
chr1	FCGR2C	161589561	161589819	0	259	255	3594	255	3335	0.0	0.07646176911544228
chr1	LINC00626	168786753	168787228	0	476	0	1537	0	1061	0.0	0.0
chr1	FMO1	171281977	171283216	102	1240	3654	2776	3552	1536	0.08225806451612903	2.3125
chr1	FMO4	171341412	171342084	0	673	78	2552	78	1879	0.0	0.041511442256519426
chr1	CEP350	180110996	180113380	0	2385	4851	14304	4851	11919	0.0	0.4069972313113516
chr1	DHX9	182883138	182883368	0	231	38578	5929	38578	5698	0.0	6.770445770445771
chr1	IGFN1	201206082	201213621	233036	7540	315748	12141	82712	4601	30.906631299734748	17.97696153010215
chr1	ZC3H11A	203801574	203803016	10255	1443	25925	8033	15670	6590	7.106722106722107	2.377845220030349
chr1	ZC3H11A	203796450	203803016	69221	6567	25925	8033	-43296	1466	10.540733972894778	-29.53342428376535
chr1	ERLNC1	204141407	204142260	0	854	0	1534	0	680	0.0	0.0
chr1	CNTN2	205058180	205058663	4284	484	198164	14396	193880	13912	8.851239669421487	13.936170212765957
chr1	CNTN2	205073655	205074944	18476	1290	198164	14396	179688	13106	14.322480620155039	13.71036166641233
chr1	CDK18	205523146	205523625	0	480	102	5600	102	5120	0.0	0.019921875
chr1	MIR205HG	209428819	209429408	0	590	0	2601	0	2011	0.0	0.0
chr1	MIR205HG	209428822	209429408	0	587	0	2601	0	2014	0.0	0.0
chr1	ATF3	212615017	212615261	102	245	205563	3955	205461	3710	0.4163265306122449	55.38032345013477
chr1	ATF3	212615021	212615261	102	241	205563	3955	205461	3714	0.42323651452282157	55.32067851373183
chr1	ATF3	212619045	212619555	221653	511	205563	3955	-16090	3444	433.76320939334636	-4.671893147502904
chr1	VASH2	212951338	212951818	51	481	59048	8706	58997	8225	0.10602910602910603	7.172887537993921
chr1	PSEN2	226897719	226899555	0	1837	2692	12917	2692	11080	0.0	0.24296028880866427
chr1	AL118511.1	230874541	230875565	0	1025	0	1948	0	923	0.0	0.0
chr1	TBCE	235435744	235436608	459	865	14167	8049	13708	7184	0.530635838150289	1.908129175946548
chr1	TBCE	235436385	235436608	0	224	14167	8049	14167	7825	0.0	1.8104792332268371
chr1	FMN2	240334108	240334229	0	122	7	9266	7	9144	0.0	0.0007655293088363954
chr1	LINC01341	246790445	246792385	969	1941	5952	4672	4983	2731	0.4992272024729521	1.8246063712925669
chr1	AL732372.2	498398	498976	0	579	0	6130	0	5551	0.0	0.0
chr1	AL669831.3	764722	765247	0	526	1873	5509	1873	4983	0.0	0.3758779851495083
chr1	C1ORF159	1083914	1084383	0	470	510	4115	510	3645	0.0	0.13991769547325103
chr1	C1ORF159	1090352	1091374	1020	1023	510	4115	-510	3092	0.9970674486803519	-0.1649417852522639
chr1	CCNL2	1390229	1390371	0	143	97762	6208	97762	6065	0.0	16.11904369332234
chr1	CCNL2	1390765	1391575	42895	811	97762	6208	54867	5397	52.89149198520345	10.166203446359088
chr1	CDK11A	1722587	1722831	896	245	173055	4549	172159	4304	3.657142857142857	39.999767657992564
chr1	TMEM52	1918892	1919088	0	197	0	1347	0	1150	0.0	0.0
chr1	TMEM52	1919044	1919269	0	226	0	1347	0	1121	0.0	0.0
chr1	PRDM16-DT	3059616	3060283	0	668	0	4427	0	3759	0.0	0.0
chr1	PRDM16-DT	3060500	3061331	0	832	0	4427	0	3595	0.0	0.0
chr1	LINC01345	3947956	3949024	0	1069	0	1907	0	838	0.0	0.0
chr1	TNFRSF25	6462862	6463127	102	266	373	3596	271	3330	0.38345864661654133	0.08138138138138139
chr1	TNFRSF25	6462862	6463147	102	286	373	3596	271	3310	0.35664335664335667	0.08187311178247735
chr1	PLEKHG5	6467824	6468586	0	763	0	6625	0	5862	0.0	0.0
chr1	KLHL21	6590723	6595557	270050	4835	290044	6486	19994	1651	55.85315408479835	12.11023622047244
chr1	MAD2L2	11680352	11680613	0	262	0	2907	0	2645	0.0	0.0
chr1	MTHFR	11802880	11804532	4005	1653	73387	6734	69382	5081	2.422867513611615	13.65518598701043
chr1	MTHFR	11802880	11803526	2781	647	73387	6734	70606	6087	4.298299845440495	11.599474289469361
chr1	CROCCP3	16476929	16478437	38037	1509	63774	5234	25737	3725	25.206759443339962	6.909261744966443
chr1	CROCCP3	16491009	16491316	1765	308	63774	5234	62009	4926	5.73051948051948	12.588103938286642
chr1	MST1L	16758802	16759168	0	367	12020	5187	12020	4820	0.0	2.4937759336099585
chr1	ALDH4A1	18871429	18872957	0	1529	0	3649	0	2120	0.0	0.0
chr1	AKR7L	19270747	19270935	0	189	612	2775	612	2586	0.0	0.23665893271461716
chr1	RAP1GAP	21599493	21599617	0	125	2637	5400	2637	5275	0.0	0.4999052132701422
chr1	LACTBL1	22958684	22958920	0	237	0	1647	0	1410	0.0	0.0
chr1	RSRP1	25242248	25242705	0	458	0	5486	0	5028	0.0	0.0
chr1	RSRP1	25243549	25245301	0	1753	0	5486	0	3733	0.0	0.0
chr1	RSRP1	25242254	25242705	0	452	0	5486	0	5034	0.0	0.0
chr1	AL391650.1	26171616	26171821	804	206	1926	1644	1122	1438	3.9029126213592233	0.780250347705146
chr1	KDF1	26951341	26952412	51	1072	51	1859	0	787	0.04757462686567164	0.0
chr1	CD164L2	27379175	27380195	306	1021	816	1994	510	973	0.2997061704211557	0.5241521068859198
chr1	SNHG12	28579532	28580646	153	1115	255	3699	102	2584	0.13721973094170403	0.039473684210526314
chr1	SNHG12	28579532	28579981	153	450	255	3699	102	3249	0.34	0.03139427516158818
chr1	SNHG12	28580559	28581871	0	1313	255	3699	255	2386	0.0	0.10687342833193629
chr1	SNHG12	28580559	28581229	0	671	255	3699	255	3028	0.0	0.08421400264200793
chr1	MECR	29195940	29196258	0	319	202	4032	202	3713	0.0	0.05440344734715863
chr1	SDC3	30876551	30878740	0	2190	51	7073	51	4883	0.0	0.010444398935080893
chr1	TMEM234	32215135	32215795	0	661	9241	3451	9241	2790	0.0	3.3121863799283155
chr1	TMEM234	32216199	32216947	0	749	9241	3451	9241	2702	0.0	3.420059215396003
