chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	LINC01409	804841	804966	0	126	32806	6771	32806	6645	0.0	4.9369450714823175
chr1	LINC01409	782044	782136	51	93	32806	6771	32755	6678	0.5483870967741935	4.904911650194669
chr1	LINC01128	852015	852110	273	96	56879	13620	56606	13524	2.84375	4.1855959775214435
chr1	LINC01128	852095	852110	16	16	56879	13620	56863	13604	1.0	4.17987356659806
chr1	LINC01128	841374	844498	11317	3125	56879	13620	45562	10495	3.62144	4.34130538351596
chr1	LINC01128	855122	855136	0	15	56879	13620	56879	13605	0.0	4.180742374127159
chr1	LINC01128	852111	852766	408	656	56879	13620	56471	12964	0.6219512195121951	4.355985806849738
chr1	LINC01128	827776	827853	0	78	56879	13620	56879	13542	0.0	4.200191995273962
chr1	LINC01128	827850	827853	0	4	56879	13620	56879	13616	0.0	4.177364864864865
chr1	LINC01128	852015	852094	257	80	56879	13620	56622	13540	3.2125	4.181831610044314
chr1	LINC01128	827854	828127	0	274	56879	13620	56879	13346	0.0	4.2618762175932865
chr1	LINC01128	827850	828127	0	278	56879	13620	56879	13342	0.0	4.263153949932544
chr1	SAMD11	939413	939460	89	48	29500	4083	29411	4035	1.8541666666666667	7.2889714993804215
chr1	KLHL17	964168	964180	0	13	1275	3324	1275	3311	0.0	0.38508003624282694
chr1	ISG15	1001264	1001281	3040	18	15201	864	12161	846	168.88888888888889	14.374704491725769
chr1	TTLL10	1179738	1179853	490	116	17704	4015	17214	3899	4.224137931034483	4.414978199538343
chr1	SCNN1D	1282316	1282319	8	4	51188	3430	51180	3426	2.0	14.938704028021016
chr1	MRPL20-AS1	1399686	1399689	0	4	153	2407	153	2403	0.0	0.06367041198501873
chr1	MIB2	1623483	1623699	337	217	67209	7887	66872	7670	1.5529953917050692	8.71864406779661
chr1	MIB2	1623680	1623699	0	20	67209	7887	67209	7867	0.0	8.543154951061396
chr1	MIB2	1623483	1623679	337	197	67209	7887	66872	7690	1.7106598984771573	8.695968790637192
chr1	MMP23B	1633356	1633480	0	125	110201	2013	110201	1888	0.0	58.36917372881356
chr1	GABRD	2025402	2025432	0	31	51	4393	51	4362	0.0	0.011691884456671253
chr1	GABRD	2028288	2028292	0	5	51	4393	51	4388	0.0	0.01162260711030082
chr1	GABRD	2029267	2029408	0	142	51	4393	51	4251	0.0	0.011997177134791814
chr1	PLCH2	2502410	2502910	0	501	16039	6815	16039	6314	0.0	2.5402280646183084
chr1	TNFRSF14	2555851	2556252	0	402	0	4905	0	4503	0.0	0.0
chr1	TNFRSF14	2556033	2556252	0	220	0	4905	0	4685	0.0	0.0
chr1	TNFRSF14	2556253	2556261	0	9	0	4905	0	4896	0.0	0.0
chr1	SMIM1	3772789	3772841	0	53	7893	996	7893	943	0.0	8.370095440084835
chr1	DFFB	3858845	3858866	0	22	0	3880	0	3858	0.0	0.0
chr1	LINC01777	4412350	4412632	0	283	102	2582	102	2299	0.0	0.04436711613745106
chr1	KCNAB2	6097358	6097555	0	198	42121	13510	42121	13312	0.0	3.1641376201923075
chr1	KCNAB2	6034795	6034963	0	169	42121	13510	42121	13341	0.0	3.1572595757439474
chr1	KCNAB2	6046184	6046357	17775	174	42121	13510	24346	13336	102.15517241379311	1.8255848830233954
chr1	KCNAB2	6094486	6094962	0	477	42121	13510	42121	13033	0.0	3.231872937926801
chr1	ESPN	6448803	6449091	32	289	10054	6800	10022	6511	0.11072664359861592	1.5392412839809553
chr1	ZBTB48	6580050	6580136	168	87	213031	3499	212863	3412	1.9310344827586208	62.38657678780774
chr1	ZBTB48	6580071	6580136	42	66	213031	3499	212989	3433	0.6363636363636364	62.041654529565974
chr1	ZBTB48	6580050	6580070	126	21	213031	3499	212905	3478	6.0	61.214778608395626
chr1	LINC01672	6724851	6724855	145	5	5326	2191	5181	2186	29.0	2.370082342177493
chr1	PER3	7810568	7810588	0	21	22788	7397	22788	7376	0.0	3.089479392624729
chr1	PARK7	7961736	7961793	0	58	102	2378	102	2320	0.0	0.04396551724137931
chr1	PARK7	7962082	7962101	0	20	102	2378	102	2358	0.0	0.043256997455470736
chr1	AL139424.2	10396371	10396376	0	6	2997	1237	2997	1231	0.0	2.4346060113728676
chr1	TARDBP	11012429	11012480	0	52	153	4648	153	4596	0.0	0.03328981723237598
chr1	TARDBP	11012429	11012606	0	178	153	4648	153	4470	0.0	0.03422818791946309
chr1	TARDBP	11012481	11012606	0	126	153	4648	153	4522	0.0	0.03383458646616541
chr1	TARDBP	11022178	11022241	11	64	153	4648	142	4584	0.171875	0.030977312390924956
chr1	TARDBP	11022242	11022250	9	9	153	4648	144	4639	1.0	0.031041172666522957
chr1	TARDBP	11022178	11022250	20	73	153	4648	133	4575	0.273972602739726	0.02907103825136612
chr1	TARDBP	11022242	11022268	27	27	153	4648	126	4621	1.0	0.027266825362475655
chr1	TARDBP	11022251	11022268	18	18	153	4648	135	4630	1.0	0.029157667386609073
chr1	TARDBP	11022178	11022268	38	91	153	4648	115	4557	0.4175824175824176	0.02523590081193768
chr1	TARDBP	11023330	11023667	51	338	153	4648	102	4310	0.15088757396449703	0.023665893271461718
chr1	EXOSC10-AS1	11099815	11099910	0	96	0	538	0	442	0.0	0.0
chr1	FBXO44	11658365	11658393	0	29	0	3061	0	3032	0.0	0.0
chr1	AGTRAP	11748590	11748610	0	21	247528	2351	247528	2330	0.0	106.2351931330472
chr1	MFN2	12007250	12007295	0	46	419893	10140	419893	10094	0.0	41.59827620368536
chr1	PDPN	13614406	13614411	0	6	0	3705	0	3699	0.0	0.0
chr1	PDPN	13584101	13584188	0	88	0	3705	0	3617	0.0	0.0
chr1	PDPN	13585569	13585639	0	71	0	3705	0	3634	0.0	0.0
chr1	PRDM2	13732856	13732882	0	27	486	10938	486	10911	0.0	0.04454220511410503
chr1	FHAD1	15341889	15341893	0	5	5626	11501	5626	11496	0.0	0.4893876130828114
chr1	DNAJC16	15566181	15566410	0	230	2105	7125	2105	6895	0.0	0.3052936910804931
chr1	DNAJC16	15566300	15566410	0	111	2105	7125	2105	7014	0.0	0.30011405759908755
chr1	DNAJC16	15566181	15566299	0	119	2105	7125	2105	7006	0.0	0.3004567513559806
chr1	FBLIM1	15756729	15756732	905	4	19561	4315	18656	4311	226.25	4.327534214799351
chr1	FBLIM1	15758330	15758355	20	26	19561	4315	19541	4289	0.7692307692307693	4.55607367684775
chr1	FBLIM1	15764548	15764685	0	138	19561	4315	19561	4177	0.0	4.683026095283696
chr1	NECAP2	16447943	16447974	154	32	1967543	4594	1967389	4562	4.8125	431.255808855765
chr1	NECAP2	16440776	16440853	38	78	1967543	4594	1967505	4516	0.48717948717948717	435.67426926483614
chr1	BX284668.2	16873108	16873143	0	36	0	2347	0	2311	0.0	0.0
chr1	BX284668.2	16873144	16873429	0	286	0	2347	0	2061	0.0	0.0
chr1	BX284668.2	16873108	16873507	0	400	0	2347	0	1947	0.0	0.0
chr1	BX284668.2	16873144	16873507	0	364	0	2347	0	1983	0.0	0.0
chr1	BX284668.2	16873430	16873507	0	78	0	2347	0	2269	0.0	0.0
chr1	LINC02810	17718721	17718791	0	71	2029	1332	2029	1261	0.0	1.6090404440919905
chr1	PLA2G5	20069033	20069034	0	2	11625	3257	11625	3255	0.0	3.5714285714285716
chr1	VWA5B1	20348359	20348376	0	18	81	6402	81	6384	0.0	0.01268796992481203
chr1	VWA5B1	20303213	20303349	0	137	81	6402	81	6265	0.0	0.012928970470869912
chr1	NBPF3	21478197	21478307	0	111	8259	6838	8259	6727	0.0	1.2277389623903672
chr1	NBPF3	21478228	21478307	0	80	8259	6838	8259	6758	0.0	1.222107132287659
chr1	NBPF3	21478197	21478227	0	31	8259	6838	8259	6807	0.0	1.2133098281181136
chr1	LINC00339	22025640	22025945	51	306	15847	3569	15796	3263	0.16666666666666666	4.840943916641128
chr1	LINC00339	22025644	22025945	51	302	15847	3569	15796	3267	0.16887417218543047	4.835016835016835
chr1	LINC00339	22025946	22026119	51	174	15847	3569	15796	3395	0.29310344827586204	4.652724594992637
chr1	LINC00339	22025644	22026119	102	476	15847	3569	15745	3093	0.21428571428571427	5.090526996443582
chr1	LINC00339	22025640	22025643	0	4	15847	3569	15847	3565	0.0	4.445161290322581
chr1	LINC00339	22025946	22026649	51	704	15847	3569	15796	2865	0.07244318181818182	5.513438045375218
chr1	LINC00339	22026120	22026649	0	530	15847	3569	15847	3039	0.0	5.214544257979599
chr1	LINC00339	22025644	22026649	102	1006	15847	3569	15745	2563	0.10139165009940358	6.1431915723761215
chr1	LINC00339	22027535	22028379	8575	845	15847	3569	7272	2724	10.14792899408284	2.6696035242290748
chr1	LINC00339	22027781	22028379	8524	599	15847	3569	7323	2970	14.230383973288815	2.4656565656565657
chr1	CDC42	22052743	22052868	5770	126	21611	13175	15841	13049	45.79365079365079	1.2139627557667254
chr1	C1QC	22643715	22643737	0	23	0	1335	0	1312	0.0	0.0
chr1	C1QC	22643715	22643886	0	172	0	1335	0	1163	0.0	0.0
chr1	C1QC	22643738	22643886	0	149	0	1335	0	1186	0.0	0.0
chr1	ZNF436-AS1	23369325	23369513	0	189	45	1052	45	863	0.0	0.05214368482039398
chr1	RPL11	23691830	23692060	68	231	34423	2664	34355	2433	0.2943722943722944	14.120427455815864
chr1	GRHL3	24319569	24319747	337	179	1172	3924	835	3745	1.8826815642458101	0.22296395193591456
chr1	RCAN3	24503118	24503150	0	33	838	6672	838	6639	0.0	0.12622382888989306
chr1	SRRM1	24655124	24655129	0	6	8136	5651	8136	5645	0.0	1.4412754650132862
chr1	MTFR1L	25823324	25823439	357	116	22094	4825	21737	4709	3.0775862068965516	4.616054363983861
chr1	MTFR1L	25820350	25820414	22	65	22094	4825	22072	4760	0.3384615384615385	4.636974789915967
chr1	MTFR1L	25820350	25820659	144	310	22094	4825	21950	4515	0.4645161290322581	4.861572535991141
chr1	MTFR1L	25820415	25820659	122	245	22094	4825	21972	4580	0.49795918367346936	4.7973799126637555
chr1	MTFR1L	25820922	25821003	0	82	22094	4825	22094	4743	0.0	4.6582331857474175
chr1	CNKSR1	26177581	26177599	99	19	151527	3847	151428	3828	5.2105263157894735	39.557993730407524
chr1	CNKSR1	26183415	26183435	0	21	151527	3847	151527	3826	0.0	39.60454783063251
chr1	CATSPER4	26201042	26201075	163	34	37716	2040	37553	2006	4.794117647058823	18.720338983050848
chr1	ZPLD2P	26222757	26222770	354	14	945727	3201	945373	3187	25.285714285714285	296.63413868842173
chr1	ZPLD2P	26223602	26223753	0	152	945727	3201	945727	3049	0.0	310.176123319121
chr1	DHDDS	26432377	26432395	0	19	6867	5593	6867	5574	0.0	1.2319698600645856
chr1	DHDDS	26432377	26432415	0	39	6867	5593	6867	5554	0.0	1.2364061937342457
chr1	DHDDS	26432396	26432415	0	20	6867	5593	6867	5573	0.0	1.2321909205095998
chr1	DHDDS	26432377	26432518	0	142	6867	5593	6867	5451	0.0	1.259768849752339
chr1	DHDDS	26432396	26432518	0	123	6867	5593	6867	5470	0.0	1.2553930530164534
chr1	DHDDS	26432416	26432518	0	103	6867	5593	6867	5490	0.0	1.2508196721311475
chr1	DHDDS	26432493	26432518	0	26	6867	5593	6867	5567	0.0	1.2335189509610203
chr1	DHDDS	26432377	26432594	0	218	6867	5593	6867	5375	0.0	1.2775813953488373
chr1	DHDDS	26432396	26432594	0	199	6867	5593	6867	5394	0.0	1.2730812013348165
chr1	DHDDS	26432416	26432594	0	179	6867	5593	6867	5414	0.0	1.268378278537126
chr1	DHDDS	26432519	26432594	0	76	6867	5593	6867	5517	0.0	1.2446982055464926
chr1	DHDDS	26432493	26432594	0	102	6867	5593	6867	5491	0.0	1.2505918776179201
chr1	DHDDS	26432377	26432641	0	265	6867	5593	6867	5328	0.0	1.2888513513513513
chr1	DHDDS	26432396	26432641	0	246	6867	5593	6867	5347	0.0	1.2842715541425098
