chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	LINC01409	804841	804966	0	126	30465	6771	30465	6645	0.0	4.584650112866817
chr1	LINC01409	782044	782136	256	93	30465	6771	30209	6678	2.752688172043011	4.52365977837676
chr1	LINC01128	852015	852110	677	96	50545	13620	49868	13524	7.052083333333333	3.6873706004140785
chr1	LINC01128	852095	852110	16	16	50545	13620	50529	13604	1.0	3.7142752131725962
chr1	LINC01128	841374	844498	8466	3125	50545	13620	42079	10495	2.70912	4.009433063363506
chr1	LINC01128	855122	855136	15	15	50545	13620	50530	13605	1.0	3.7140757074604926
chr1	LINC01128	852111	852766	1558	656	50545	13620	48987	12964	2.375	3.778694847269361
chr1	LINC01128	827776	827853	0	78	50545	13620	50545	13542	0.0	3.7324619701668884
chr1	LINC01128	827850	827853	0	4	50545	13620	50545	13616	0.0	3.7121768507638073
chr1	LINC01128	852015	852094	661	80	50545	13620	49884	13540	8.2625	3.684194977843427
chr1	LINC01128	827854	828127	0	274	50545	13620	50545	13346	0.0	3.787277086767571
chr1	LINC01128	827850	828127	0	278	50545	13620	50545	13342	0.0	3.7884125318542945
chr1	SAMD11	939413	939460	55	48	10829	4083	10774	4035	1.1458333333333333	2.6701363073110285
chr1	KLHL17	964168	964180	0	13	1938	3324	1938	3311	0.0	0.585321655089097
chr1	ISG15	1001264	1001281	993	18	6900	864	5907	846	55.166666666666664	6.9822695035460995
chr1	TTLL10	1179738	1179853	0	116	13160	4015	13160	3899	0.0	3.3752244165170557
chr1	SCNN1D	1282316	1282319	0	4	22405	3430	22405	3426	0.0	6.539696438995914
chr1	MRPL20-AS1	1399686	1399689	0	4	0	2407	0	2403	0.0	0.0
chr1	MIB2	1623483	1623699	839	217	73128	7887	72289	7670	3.866359447004608	9.42490221642764
chr1	MIB2	1623680	1623699	74	20	73128	7887	73054	7867	3.7	9.286131943561713
chr1	MIB2	1623483	1623679	765	197	73128	7887	72363	7690	3.883248730964467	9.41001300390117
chr1	MMP23B	1633356	1633480	0	125	103840	2013	103840	1888	0.0	55.0
chr1	GABRD	2025402	2025432	0	31	102	4393	102	4362	0.0	0.023383768913342505
chr1	GABRD	2028288	2028292	0	5	102	4393	102	4388	0.0	0.02324521422060164
chr1	GABRD	2029267	2029408	0	142	102	4393	102	4251	0.0	0.02399435426958363
chr1	PLCH2	2502410	2502910	0	501	2749	6815	2749	6314	0.0	0.43538169147925243
chr1	TNFRSF14	2555851	2556252	0	402	0	4905	0	4503	0.0	0.0
chr1	TNFRSF14	2556033	2556252	0	220	0	4905	0	4685	0.0	0.0
chr1	TNFRSF14	2556253	2556261	0	9	0	4905	0	4896	0.0	0.0
chr1	SMIM1	3772789	3772841	0	53	7915	996	7915	943	0.0	8.393425238600212
chr1	DFFB	3858845	3858866	0	22	0	3880	0	3858	0.0	0.0
chr1	LINC01777	4412350	4412632	0	283	102	2582	102	2299	0.0	0.04436711613745106
chr1	KCNAB2	6097358	6097555	0	198	24733	13510	24733	13312	0.0	1.8579477163461537
chr1	KCNAB2	6034795	6034963	0	169	24733	13510	24733	13341	0.0	1.853909002323664
chr1	KCNAB2	6046184	6046357	9803	174	24733	13510	14930	13336	56.339080459770116	1.1195260947810437
chr1	KCNAB2	6094486	6094962	0	477	24733	13510	24733	13033	0.0	1.8977211693393692
chr1	ESPN	6448803	6449091	51	289	5713	6800	5662	6511	0.17647058823529413	0.8696052833666104
chr1	ZBTB48	6580050	6580136	0	87	236380	3499	236380	3412	0.0	69.27901524032825
chr1	ZBTB48	6580071	6580136	0	66	236380	3499	236380	3433	0.0	68.85522866297698
chr1	ZBTB48	6580050	6580070	0	21	236380	3499	236380	3478	0.0	67.96434732604945
chr1	LINC01672	6724851	6724855	73	5	5244	2191	5171	2186	14.6	2.365507776761208
chr1	PER3	7810568	7810588	0	21	17971	7397	17971	7376	0.0	2.4364154013015185
chr1	PARK7	7961736	7961793	0	58	997	2378	997	2320	0.0	0.42974137931034484
chr1	PARK7	7962082	7962101	0	20	997	2378	997	2358	0.0	0.42281594571670905
chr1	AL139424.2	10396371	10396376	6	6	8036	1237	8030	1231	1.0	6.523151909017059
chr1	TARDBP	11012429	11012480	0	52	102	4648	102	4596	0.0	0.022193211488250653
chr1	TARDBP	11012429	11012606	0	178	102	4648	102	4470	0.0	0.022818791946308724
chr1	TARDBP	11012481	11012606	0	126	102	4648	102	4522	0.0	0.022556390977443608
chr1	TARDBP	11022178	11022241	16	64	102	4648	86	4584	0.25	0.018760907504363003
chr1	TARDBP	11022242	11022250	9	9	102	4648	93	4639	1.0	0.020047424013796077
chr1	TARDBP	11022178	11022250	25	73	102	4648	77	4575	0.3424657534246575	0.016830601092896174
chr1	TARDBP	11022242	11022268	27	27	102	4648	75	4621	1.0	0.016230253191949793
chr1	TARDBP	11022251	11022268	18	18	102	4648	84	4630	1.0	0.01814254859611231
chr1	TARDBP	11022178	11022268	43	91	102	4648	59	4557	0.4725274725274725	0.01294711432960281
chr1	TARDBP	11023330	11023667	0	338	102	4648	102	4310	0.0	0.023665893271461718
chr1	EXOSC10-AS1	11099815	11099910	0	96	0	538	0	442	0.0	0.0
chr1	FBXO44	11658365	11658393	0	29	0	3061	0	3032	0.0	0.0
